symbol,rw,ar1_levels,ar1_log,har,har_improve_vs_ar1_pct
NVDA,0.03360803556047957,0.033290453465712515,0.03300712843916973,0.03386278599243613,-1.7192091640118035
AMD,0.032993069000899586,0.03326951736082289,0.03300502594177699,0.033944318266514825,-2.0282858280551874
AVGO,0.029946490982822878,0.029755087337770093,0.0296266671164913,0.0300219394628195,-0.8968285726073999
MRVL,0.07384282084799376,0.07294715148772724,0.07385425698599252,0.07198494399373315,1.3190473848125106
QCOM,0.031007642523009898,0.03144639744387155,0.03135202266992139,0.03199349824097644,-1.7397884704644095
ARM,0.05496694065911484,0.05447204277783546,0.05435336639234295,0.05438496728425991,0.15985354896767
TSM,0.0255855181600282,0.025575291406099227,0.02516363438642376,0.026003600747840503,-1.6746997519611062
ASML,0.026559519807865167,0.02694820812558492,0.026558563561904617,0.027371535217196926,-1.5708914286219233
AMAT,0.026978365476148593,0.0271598515568941,0.02700349702754352,0.027433755239649922,-1.0084874071644157
LRCX,0.028691867697421734,0.029415089146958437,0.029040454956136934,0.02982880036547203,-1.4064591694646245
KLAC,0.0264484526562599,0.026972461901328276,0.026619602127519227,0.02731577794500152,-1.2728391087516444
TER,0.03236110816532509,0.03292368622477618,0.03281650044464473,0.033411911002796287,-1.4828982838887006
MU,0.04120483746651478,0.04168221615643723,0.04171591046545373,0.042123438949070384,-1.0585396682777137
INTC,0.037737016313733926,0.037741269483627125,0.03778303021455292,0.03798409626763477,-0.64339855900446
GFS,0.07037272589258121,0.06921571752714202,0.07035128096479672,0.06312663921660458,8.79724797788839
TXN,0.026974217061878036,0.028098212332384173,0.027435926186258335,0.02882219469863348,-2.576613621126689
ADI,0.025180143288850942,0.02558814586905296,0.02522551084899845,0.026349369649402758,-2.9749079290283476
ON,0.03512922469870131,0.03556294039196226,0.03523849769533983,0.036281007076990404,-2.0191431785838265
ORCL,0.03565145120922529,0.03579445921103831,0.03579019293360378,0.03618840697087473,-1.1005830749216239
PLTR,0.048235644417966954,0.04768488294531985,0.047538800016403926,0.04761859894796896,0.1390042152916604
SNOW,0.04020340712835383,0.03997145159832646,0.03989577517412151,0.04009766024902005,-0.31574697852321254
NOW,0.029889830073366604,0.030413425105072143,0.0301947615745818,0.030813797888120668,-1.3164343761523645
CRM,0.027731299120306235,0.027648612655816102,0.027631558492409527,0.027778684555153428,-0.47044638715341147
MSFT,0.019387286664418177,0.019557949556975977,0.01933552293591306,0.019855502783691765,-1.5213927505486113
AAPL,0.02228451270154925,0.022992962777361542,0.02246097787864493,0.023692623101494288,-3.0429324437545757
AMZN,0.025997183627652132,0.025839676633782876,0.025685759137954255,0.025976346105799644,-0.5289132443634603
GOOGL,0.02186641857946612,0.02176376247765103,0.0216628520883184,0.022014043576470015,-1.1499900307954336
META,0.02548936794098212,0.025359439269819116,0.025267762443601356,0.025186006277875945,0.6838991591962329
TSLA,0.03419546860564018,0.034470330051443995,0.03401229861637607,0.0347172895245031,-0.7164406975231685
SMCI,0.0870878381437326,0.08597250573676424,0.08670198695960545,0.08286540655143106,3.6140614475593913
DELL,0.03659542161118009,0.03650695795269799,0.036367906259328106,0.03701364957995893,-1.3879316592674273
ANET,0.037338957326925847,0.03708965427803016,0.03699065309844691,0.037518270413957604,-1.1556218149526787
VRT,0.04046734738701142,0.04047563681270963,0.040213039717718786,0.04107186557190827,-1.4730559075760263
CRWV,0.07776245630321774,0.07570186117349281,0.07629512371131464,0.06758450347403613,10.722798057571392
